名次,学校名称,综合得分,星级排名,办学层次
1,北京大学,100,8星级,世界一流大学
2,清华大学,97.68,8星级,世界一流大学
3,中国科学院大学,86.77,8星级,世界一流大学（特色）
4,复旦大学,82.94,8星级,世界一流大学
5,中国人民大学,82.48,8星级,世界一流大学（特色）
5,浙江大学,82.48,8星级,世界一流大学
7,上海交通大学,82.24,7星级,世界知名高水平大学（前列）
8,南京大学,81.83,7星级,世界知名高水平大学（前列）
9,武汉大学,81.51,7星级,世界知名高水平大学（前列）
10,中山大学,78.70,7星级,世界知名高水平大学（前列）
11,吉林大学,77.84,7星级,世界知名高水平大学
12,华中科技大学,76.99,7星级,世界知名高水平大学
13,天津大学,76.18,7星级,世界知名高水平大学
14,四川大学,76.13,7星级,世界知名高水平大学
15,中国科学技术大学,75.78,8星级,世界一流大学（特色）
16,南开大学,75.58,7星级,世界知名高水平大学
17,北京师范大学,75.55,7星级,世界知名高水平大学
18,西安交通大学,75.08,7星级,世界知名高水平大学（前列）
19,哈尔滨工业大学,75.03,7星级,世界知名高水平大学（前列）
20,中南大学,74.96,7星级,世界知名高水平大学
20,山东大学,74.96,7星级,世界知名高水平大学
22,厦门大学,74.61,7星级,世界知名高水平大学
23,同济大学,74.43,7星级,世界知名高水平大学
24,东南大学,73.99,7星级,世界知名高水平大学
25,北京航空航天大学,71.87,7星级,世界知名高水平大学
26,东北大学,70.65,6星级,世界高水平大学
27,西北工业大学,70.62,6星级,世界高水平大学
28,华东师范大学,70.59,6星级,世界高水平大学
29,北京理工大学,70.52,6星级,世界高水平大学
30,华南理工大学,70.49,6星级,世界高水平大学
31,大连理工大学,70.43,6星级,世界高水平大学
32,湖南大学,69.68,6星级,世界高水平大学
33,重庆大学,69.63,6星级,世界高水平大学
34,中国农业大学,69.20,6星级,世界高水平大学（特色）
35,兰州大学,68.46,6星级,世界高水平大学
36,华中师范大学,68.25,5星级,中国一流大学（特色）
37,电子科技大学,68.18,6星级,世界高水平大学（特色）
38,西南大学,67.67,5星级,中国一流大学（特色）
39,河海大学,67.38,6星级,世界高水平大学（特色）
40,武汉理工大学,67.16,5星级,中国一流大学（特色）
41,西南交通大学,67.10,5星级,中国一流大学（特色）
42,北京科技大学,66.80,5星级,中国一流大学（特色）
43,华中农业大学,66.59,5星级,中国一流大学（特色）
44,北京交通大学,66.57,5星级,中国一流大学（特色）
45,西北大学,66.51,5星级,中国一流大学（特色）
